instance,element,integration_point,x_centroid,y_centroid,z_centroid,phi,cL,pitd
PART-3-COPY-1,10001,1,0.1495005302131176,0.0860507134348154,0.0,0.05578768253326416,0.009889848530292511,8.513471918082338e-35
PART-3-COPY-1,10001,2,0.1495005302131176,0.0860507134348154,0.0,0.03314953297376633,0.003977724816650152,0.0
PART-3-COPY-1,10001,3,0.1495005302131176,0.0860507134348154,0.0,0.06584816426038742,0.013449427671730518,1.3581294387416078e-34
PART-3-COPY-1,10001,4,0.1495005302131176,0.0860507134348154,0.0,0.04060778394341469,0.00562331872060895,0.0
PART-3-COPY-1,10002,1,0.14850031957030296,0.08504164032638073,0.0,0.1808134913444519,0.08437056839466095,8.513471918082338e-35
PART-3-COPY-1,10002,2,0.14850031957030296,0.08504164032638073,0.0,0.11356521397829056,0.03413353115320206,0.0
PART-3-COPY-1,10002,3,0.14850031957030296,0.08504164032638073,0.0,0.2414291501045227,0.14356346428394318,1.3581294387416078e-34
PART-3-COPY-1,10002,4,0.14850031957030296,0.08504164032638073,0.0,0.1631576120853424,0.06950018554925919,0.0
PART-3-COPY-1,10003,1,0.1475321762263775,0.08709169831126928,0.0,0.07286593317985535,0.014588860794901848,0.04664082080125809
PART-3-COPY-1,10003,2,0.1475321762263775,0.08709169831126928,0.0,0.13300412893295288,0.04852306470274925,0.04664082080125809
PART-3-COPY-1,10003,3,0.1475321762263775,0.08709169831126928,0.0,0.09790288656949997,0.025824544951319695,0.04664082080125809
PART-3-COPY-1,10003,4,0.1475321762263775,0.08709169831126928,0.0,0.17166417837142944,0.0780797004699707,0.04664082080125809
PART-3-COPY-1,10004,1,0.14497090876102448,0.08936857618391514,0.0,0.4351864457130432,0.3904646039009094,0.04664082080125809
PART-3-COPY-1,10004,2,0.14497090876102448,0.08936857618391514,0.0,0.5455464720726013,0.5481893420219421,0.04664082080125809
PART-3-COPY-1,10004,3,0.14497090876102448,0.08936857618391514,0.0,0.49193763732910156,0.4721384644508362,0.04664082080125809
PART-3-COPY-1,10004,4,0.14497090876102448,0.08936857618391514,0.0,0.6048503518104553,0.6319034099578857,0.04664082080125809
PART-3-COPY-1,10005,1,0.14263195917010307,0.09310230612754822,0.0,0.8837804198265076,0.9301940202713013,0.04664082080125809
PART-3-COPY-1,10005,2,0.14263195917010307,0.09310230612754822,0.0,0.8416377305984497,0.9011688828468323,0.04664082080125809
PART-3-COPY-1,10005,3,0.14263195917010307,0.09310230612754822,0.0,0.8113062381744385,0.8747338652610779,0.04664082080125809
PART-3-COPY-1,10005,4,0.14263195917010307,0.09310230612754822,0.0,0.7386972904205322,0.8015740513801575,0.04664082080125809
PART-3-COPY-1,10006,1,0.14127677120268345,0.09476715046912432,0.0,0.9295224547386169,0.9515183568000793,0.04664082080125809
PART-3-COPY-1,10006,2,0.14127677120268345,0.09476715046912432,0.0,0.9501367211341858,0.9583235383033752,0.04664082080125809
PART-3-COPY-1,10006,3,0.14127677120268345,0.09476715046912432,0.0,0.8969252705574036,0.9358115196228027,0.04664082080125809
PART-3-COPY-1,10006,4,0.14127677120268345,0.09476715046912432,0.0,0.9363255500793457,0.9541995525360107,0.04664082080125809
PART-3-COPY-1,10007,1,0.13843043334782124,0.0952021237462759,0.0,0.9965465068817139,0.965030312538147,0.04664082080125809
PART-3-COPY-1,10007,2,0.13843043334782124,0.0952021237462759,0.0,0.9946742653846741,0.9649848937988281,0.04664082080125809
PART-3-COPY-1,10007,3,0.13843043334782124,0.0952021237462759,0.0,0.9977301359176636,0.9650464653968811,0.04664082080125809
PART-3-COPY-1,10007,4,0.13843043334782124,0.0952021237462759,0.0,0.9965458512306213,0.9650251269340515,0.04664082080125809
PART-3-COPY-1,10008,1,0.1364843975752592,0.09734132885932922,0.0,0.999468207359314,0.9650249481201172,0.04664082080125809
PART-3-COPY-1,10008,2,0.1364843975752592,0.09734132885932922,0.0,0.9995102286338806,0.9650304317474365,0.04664082080125809
PART-3-COPY-1,10008,3,0.1364843975752592,0.09734132885932922,0.0,0.9988550543785095,0.9650252461433411,0.04664082080125809
PART-3-COPY-1,10008,4,0.1364843975752592,0.09734132885932922,0.0,0.9990379214286804,0.9650311470031738,0.04664082080125809
PART-3-COPY-1,10009,1,0.13421356119215488,0.09990724176168442,0.0,0.9998778700828552,0.9649980664253235,0.04664082080125809
PART-3-COPY-1,10009,2,0.13421356119215488,0.09990724176168442,0.0,0.9999131560325623,0.9649991989135742,0.04664082080125809
PART-3-COPY-1,10009,3,0.13421356119215488,0.09990724176168442,0.0,0.9998173117637634,0.9649999141693115,0.04664082080125809
PART-3-COPY-1,10009,4,0.13421356119215488,0.09990724176168442,0.0,0.9998671412467957,0.9650019407272339,0.04664082080125809
PART-3-COPY-1,10010,1,0.13197832368314266,0.10099126677960157,0.0,0.9999770522117615,0.9649856686592102,0.04664082080125809
PART-3-COPY-1,10010,2,0.13197832368314266,0.10099126677960157,0.0,0.9999778270721436,0.964981734752655,0.04664082080125809
PART-3-COPY-1,10010,3,0.13197832368314266,0.10099126677960157,0.0,0.9999902248382568,0.9649852514266968,0.04664082080125809
PART-3-COPY-1,10010,4,0.13197832368314266,0.10099126677960157,0.0,0.9999905228614807,0.9649804830551147,0.04664082080125809
PART-3-COPY-1,10011,1,0.12988755106925964,0.10353530757129192,0.0,0.9999971985816956,0.9649553298950195,0.04664082080125809
PART-3-COPY-1,10011,2,0.12988755106925964,0.10353530757129192,0.0,0.9999977350234985,0.9649584293365479,0.04664082080125809
PART-3-COPY-1,10011,3,0.12988755106925964,0.10353530757129192,0.0,0.9999951720237732,0.9649574756622314,0.04664082080125809
PART-3-COPY-1,10011,4,0.12988755106925964,0.10353530757129192,0.0,0.9999960064888,0.964960515499115,0.04664082080125809
PART-3-COPY-1,10012,1,0.12740390002727509,0.10628449451178312,0.0,0.9999991059303284,0.9649285078048706,0.04664082080125809
PART-3-COPY-1,10012,2,0.12740390002727509,0.10628449451178312,0.0,0.9999995231628418,0.9649270176887512,0.04664082080125809
PART-3-COPY-1,10012,3,0.12740390002727509,0.10628449451178312,0.0,0.9999992847442627,0.9649325609207153,0.04664082080125809
PART-3-COPY-1,10012,4,0.12740390002727509,0.10628449451178312,0.0,0.9999996423721313,0.964931070804596,0.04664082080125809
PART-3-COPY-1,10013,1,0.12549215741455555,0.10721493512392044,0.0,0.9999999403953552,0.9649157524108887,0.04664082080125809
PART-3-COPY-1,10013,2,0.12549215741455555,0.10721493512392044,0.0,0.9999999403953552,0.9649198651313782,0.04664082080125809
PART-3-COPY-1,10013,3,0.12549215741455555,0.10721493512392044,0.0,0.9999998211860657,0.9649167060852051,0.04664082080125809
PART-3-COPY-1,10013,4,0.12549215741455555,0.10721493512392044,0.0,0.9999998807907104,0.9649208784103394,0.04664082080125809
PART-3-COPY-1,10014,1,0.1264786720275879,0.10724948812276125,0.0,0.9999997615814209,0.9649175405502319,0.04664082080125809
PART-3-COPY-1,10014,2,0.1264786720275879,0.10724948812276125,0.0,0.9999998211860657,0.9649217128753662,0.04664082080125809
PART-3-COPY-1,10014,3,0.1264786720275879,0.10724948812276125,0.0,0.9999995231628418,0.9649187326431274,0.04664082080125809
PART-3-COPY-1,10014,4,0.1264786720275879,0.10724948812276125,0.0,0.9999996423721313,0.9649229645729065,0.04664082080125809
PART-3-COPY-1,10015,1,0.12547832913696766,0.10621103271842003,0.0,0.9999999403953552,0.9649227857589722,0.04664082080125809
PART-3-COPY-1,10015,2,0.12547832913696766,0.10621103271842003,0.0,0.9999999403953552,0.9649267196655273,0.04664082080125809
PART-3-COPY-1,10015,3,0.12547832913696766,0.10621103271842003,0.0,0.9999998807907104,0.9649238586425781,0.04664082080125809
PART-3-COPY-1,10015,4,0.12547832913696766,0.10621103271842003,0.0,0.9999999403953552,0.9649278521537781,0.04664082080125809
PART-3-COPY-1,10016,1,0.12639902159571648,0.10526627395302057,0.0,0.9999998807907104,0.9649316072463989,0.04664082080125809
PART-3-COPY-1,10016,2,0.12639902159571648,0.10526627395302057,0.0,0.9999998807907104,0.9649353623390198,0.04664082080125809
PART-3-COPY-1,10016,3,0.12639902159571648,0.10526627395302057,0.0,0.9999997615814209,0.964932918548584,0.04664082080125809
PART-3-COPY-1,10016,4,0.12639902159571648,0.10526627395302057,0.0,0.9999998211860657,0.9649366736412048,0.04664082080125809
PART-3-COPY-1,10017,1,0.12722647562623024,0.10340758226811886,0.0,0.9999998807907104,0.9649465680122375,0.04664082080125809
PART-3-COPY-1,10017,2,0.12722647562623024,0.10340758226811886,0.0,0.9999998807907104,0.9649499654769897,0.04664082080125809
PART-3-COPY-1,10017,3,0.12722647562623024,0.10340758226811886,0.0,0.9999997615814209,0.9649479389190674,0.04664082080125809
PART-3-COPY-1,10017,4,0.12722647562623024,0.10340758226811886,0.0,0.9999997615814209,0.9649513363838196,0.04664082080125809
PART-3-COPY-1,10018,1,0.13014320470392704,0.09966030158102512,0.0,0.9999980330467224,0.9649832844734192,0.04664082080125809
PART-3-COPY-1,10018,2,0.13014320470392704,0.09966030158102512,0.0,0.9999987483024597,0.964981198310852,0.04664082080125809
PART-3-COPY-1,10018,3,0.13014320470392704,0.09966030158102512,0.0,0.9999986290931702,0.9649853110313416,0.04664082080125809
PART-3-COPY-1,10018,4,0.13014320470392704,0.09966030158102512,0.0,0.9999990463256836,0.9649831056594849,0.04664082080125809
PART-3-COPY-1,10019,1,0.13249212503433228,0.09886766038835049,0.0,0.9999914169311523,0.9649975895881653,0.04664082080125809
PART-3-COPY-1,10019,2,0.13249212503433228,0.09886766038835049,0.0,0.9999865889549255,0.9650011658668518,0.04664082080125809
PART-3-COPY-1,10019,3,0.13249212503433228,0.09886766038835049,0.0,0.9999855160713196,0.9649960398674011,0.04664082080125809
PART-3-COPY-1,10019,4,0.13249212503433228,0.09886766038835049,0.0,0.9999780654907227,0.9649997353553772,0.04664082080125809
PART-3-COPY-1,10020,1,0.13409664295613766,0.09604729153215885,0.0,0.9999637007713318,0.9650220274925232,0.04664082080125809
PART-3-COPY-1,10020,2,0.13409664295613766,0.09604729153215885,0.0,0.9999776482582092,0.9650229215621948,0.04664082080125809
PART-3-COPY-1,10020,3,0.13409664295613766,0.09604729153215885,0.0,0.9999368190765381,0.9650269746780396,0.04664082080125809
PART-3-COPY-1,10020,4,0.13409664295613766,0.09604729153215885,0.0,0.999968409538269,0.9650270342826843,0.04664082080125809
PART-3-COPY-1,10021,1,0.13758586533367634,0.09365361370146275,0.0,0.9994286894798279,0.9650614261627197,0.04664082080125809
PART-3-COPY-1,10021,2,0.13758586533367634,0.09365361370146275,0.0,0.9990848302841187,0.9650654792785645,0.04664082080125809
PART-3-COPY-1,10021,3,0.13758586533367634,0.09365361370146275,0.0,0.9991624355316162,0.9650596380233765,0.04664082080125809
PART-3-COPY-1,10021,4,0.13758586533367634,0.09365361370146275,0.0,0.9987118244171143,0.9650614857673645,0.04664082080125809
PART-3-COPY-1,10022,1,0.13950512744486332,0.09268148709088564,0.0,0.9961779117584229,0.9650442600250244,0.04664082080125809
PART-3-COPY-1,10022,2,0.13950512744486332,0.09268148709088564,0.0,0.9959331154823303,0.9650442600250244,0.04664082080125809
PART-3-COPY-1,10022,3,0.13950512744486332,0.09268148709088564,0.0,0.992786705493927,0.9649360775947571,0.04664082080125809
PART-3-COPY-1,10022,4,0.13950512744486332,0.09268148709088564,0.0,0.9917926788330078,0.9648823738098145,0.04664082080125809
