time_s,cui_original_pit_depth_um,abaqus_ufl_diag_pit_depth_um,abaqus_ufl_minus_original_um
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0010000000474975,0.0,0.0,0.0
2.0012499999720603,0.0,0.0,0.0
2.0015000000130385,0.0,0.0,0.0
2.002000000094995,0.0,0.0,0.0
2.002749999985099,0.0,0.0,0.0
2.00387499993667,0.0,0.0,0.0
2.0061249998398125,0.0,0.0,0.0
2.009499999694526,0.0,0.0,0.0
2.0162499994039536,0.0,0.0,0.0
2.0297500006854534,0.0,0.0,0.0
2.056749999523163,0.0,0.0,0.0
2.1107499971985817,0.0,0.0,0.0
2.21875,0.0,0.0,0.0
2.4347499907016754,0.0,0.0,0.0
2.8667500019073486,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0067500001750886,0.0,0.00059994660075674,0.00059994660075674
3.0272812508046627,0.0,0.00242478418668108,0.00242478418668108
3.1774951219558716,0.21054598619230092,0.015775939600909672,-0.19477004659139124
3.5523178577423096,0.21054598619230092,0.04909055002882155,-0.16145543616347935
4.515922784805298,0.21054598619230092,0.1347366960241132,-0.07580929016818772
5.765922784805298,0.7980921072885394,0.24583791550461145,-0.552254191783928
7.015922546386719,0.7980921072885394,0.35693911379423376,-0.44115299349430565
8.265922546386719,0.7980921072885394,0.46804033327473205,-0.33005177401380736
9.515922546386719,1.209302106872201,0.5791415527552303,-0.6301605541169707
10.765922546386719,1.2323425617069006,0.6902427722357285,-0.5420997894711721
12.015922546386719,1.2553572887554765,0.8013439917162268,-0.45401329703924964
13.265922546386719,1.2553572887554765,0.912445211196725,-0.3429120775587515
14.515922546386719,1.2553572887554765,1.0235464306772233,-0.2318108580782532
15.765922546386719,1.381883048452437,1.1346476501577214,-0.24723539829471552
17.01592254638672,1.381883048452437,1.2457488696382197,-0.1361341788142172
18.26592254638672,1.7945405561476946,1.356850089118718,-0.4376904670289765
19.51592254638672,1.8311800668016076,1.4679513085992162,-0.3632287582023914
20.76592254638672,1.8311800668016076,1.5790525280797145,-0.2521275387218931
22.01592254638672,1.8964743940159678,1.6901537475602129,-0.20632064645575499
23.26592254638672,1.8964743940159678,1.8012549670407108,-0.0952194269752571
24.51592254638672,1.8964743940159678,1.9060095125312462,0.009535118515278329
25.76592254638672,1.8964743940159678,1.9727134830811566,0.07623908906518873
27.01592254638672,2.2218727972358465,2.039417453631067,-0.18245534360477933
28.26592254638672,2.264055423438549,2.1061214241809774,-0.15793399925757168
29.51592254638672,2.264055423438549,2.1728253947308875,-0.0912300287076615
30.76592254638672,2.345301676541567,2.239529365280798,-0.10577231126076869
32.01592254638672,2.345301676541567,2.3062333358307083,-0.03906834071085852
33.26592254638672,2.345301676541567,2.372937306380619,0.0276356298390521
34.51592254638672,2.345301676541567,2.439641276930529,0.09433960038896227
