time_s,pit_depth_um,pit_depth_mm,step,frame
0.0,0.0,0.0,Step-1,0
1.0,0.0,0.0,Step-1,1
1.0,0.0,0.0,Step-2,0
2.0,0.0,0.0,Step-2,1
2.0,0.0,0.0,Step-3,0
2.0010000000474975,0.0,0.0,Step-3,1
2.0012499999720603,0.0,0.0,Step-3,2
2.0015000000130385,0.0,0.0,Step-3,3
2.002000000094995,0.0,0.0,Step-3,4
2.002749999985099,0.0,0.0,Step-3,5
2.00387499993667,0.0,0.0,Step-3,6
2.0061249998398125,0.0,0.0,Step-3,7
2.009499999694526,0.0,0.0,Step-3,8
2.0162499994039536,0.0,0.0,Step-3,9
2.0297500006854534,0.0,0.0,Step-3,10
2.056749999523163,0.0,0.0,Step-3,11
2.1107499971985817,0.0,0.0,Step-3,12
2.21875,0.0,0.0,Step-3,13
2.4347499907016754,0.0,0.0,Step-3,14
2.8667500019073486,0.0,0.0,Step-3,15
3.0,0.0,0.0,Step-3,16
3.0,0.0,0.0,Step-4,0
3.0067500001750886,0.0,0.0,Step-4,1
3.0272812508046627,0.0,0.0,Step-4,2
3.1774951219558716,0.21054598619230092,0.00021054598619230092,Step-4,3
3.5523178577423096,0.21054598619230092,0.00021054598619230092,Step-4,4
4.515922784805298,0.21054598619230092,0.00021054598619230092,Step-4,5
5.765922784805298,0.7980921072885394,0.0007980921072885394,Step-4,6
7.015922546386719,0.7980921072885394,0.0007980921072885394,Step-4,7
8.265922546386719,0.7980921072885394,0.0007980921072885394,Step-4,8
9.515922546386719,1.209302106872201,0.001209302106872201,Step-4,9
10.765922546386719,1.2323425617069006,0.0012323425617069006,Step-4,10
12.015922546386719,1.2553572887554765,0.0012553572887554765,Step-4,11
13.265922546386719,1.2553572887554765,0.0012553572887554765,Step-4,12
14.515922546386719,1.2553572887554765,0.0012553572887554765,Step-4,13
15.765922546386719,1.381883048452437,0.001381883048452437,Step-4,14
17.01592254638672,1.381883048452437,0.001381883048452437,Step-4,15
18.26592254638672,1.7945405561476946,0.0017945405561476946,Step-4,16
19.51592254638672,1.8311800668016076,0.0018311800668016076,Step-4,17
20.76592254638672,1.8311800668016076,0.0018311800668016076,Step-4,18
22.01592254638672,1.8964743940159678,0.0018964743940159678,Step-4,19
23.26592254638672,1.8964743940159678,0.0018964743940159678,Step-4,20
24.51592254638672,1.8964743940159678,0.0018964743940159678,Step-4,21
25.76592254638672,1.8964743940159678,0.0018964743940159678,Step-4,22
27.01592254638672,2.2218727972358465,0.0022218727972358465,Step-4,23
28.26592254638672,2.264055423438549,0.002264055423438549,Step-4,24
29.51592254638672,2.264055423438549,0.002264055423438549,Step-4,25
30.76592254638672,2.345301676541567,0.002345301676541567,Step-4,26
32.01592254638672,2.345301676541567,0.002345301676541567,Step-4,27
33.26592254638672,2.345301676541567,0.002345301676541567,Step-4,28
34.51592254638672,2.345301676541567,0.002345301676541567,Step-4,29
35.76592254638672,2.433608751744032,0.002433608751744032,Step-4,30
37.01592254638672,2.433608751744032,0.002433608751744032,Step-4,31
38.26592254638672,2.433608751744032,0.002433608751744032,Step-4,32
39.51592254638672,2.8041491750627756,0.0028041491750627756,Step-4,33
40.76592254638672,2.8478712774813175,0.0028478712774813175,Step-4,34
42.01592254638672,2.8478712774813175,0.0028478712774813175,Step-4,35
43.26592254638672,2.8478712774813175,0.0028478712774813175,Step-4,36
44.51592254638672,2.9303892515599728,0.0029303892515599728,Step-4,37
45.76592254638672,2.9303892515599728,0.0029303892515599728,Step-4,38
47.01592254638672,2.9303892515599728,0.0029303892515599728,Step-4,39
48.26592254638672,3.005099482834339,0.003005099482834339,Step-4,40
49.51592254638672,3.230553353205323,0.0032305533532053232,Step-4,41
50.76592254638672,3.274403279647231,0.003274403279647231,Step-4,42
52.01592254638672,3.274403279647231,0.003274403279647231,Step-4,43
53.26592254638672,3.274403279647231,0.003274403279647231,Step-4,44
54.51592254638672,3.355494001880288,0.003355494001880288,Step-4,45
55.76592254638672,3.355494001880288,0.003355494001880288,Step-4,46
57.01592254638672,3.355494001880288,0.003355494001880288,Step-4,47
58.26592254638672,3.421701490879059,0.003421701490879059,Step-4,48
59.51592254638672,3.421701490879059,0.003421701490879059,Step-4,49
60.76592254638672,3.421701490879059,0.003421701490879059,Step-4,50
62.01592254638672,3.421701490879059,0.003421701490879059,Step-4,51
63.26592254638672,3.8558728992938995,0.0038558728992938995,Step-4,52
64.51592254638672,3.8558728992938995,0.0038558728992938995,Step-4,53
65.76592254638672,3.8558728992938995,0.0038558728992938995,Step-4,54
67.01592254638672,3.9318078197538853,0.003931807819753885,Step-4,55
68.26592254638672,3.9318078197538853,0.003931807819753885,Step-4,56
69.51592254638672,3.9318078197538853,0.003931807819753885,Step-4,57
70.76592254638672,3.9883828721940517,0.003988382872194052,Step-4,58
72.01592254638672,4.240219946950674,0.004240219946950674,Step-4,59
73.26592254638672,4.281322006136179,0.004281322006136179,Step-4,60
74.51592254638672,4.281322006136179,0.004281322006136179,Step-4,61
75.76592254638672,4.281322006136179,0.004281322006136179,Step-4,62
77.01592254638672,4.352911841124296,0.004352911841124296,Step-4,63
78.26592254638672,4.352911841124296,0.004352911841124296,Step-4,64
79.51592254638672,4.403416998684406,0.004403416998684406,Step-4,65
80.76592254638672,4.403416998684406,0.004403416998684406,Step-4,66
82.01592254638672,4.403416998684406,0.004403416998684406,Step-4,67
83.26592254638672,4.403416998684406,0.004403416998684406,Step-4,68
84.51592254638672,4.824192728847265,0.004824192728847265,Step-4,69
85.76592254638672,4.86221956089139,0.00486221956089139,Step-4,70
87.01592254638672,4.86221956089139,0.00486221956089139,Step-4,71
88.26592254638672,4.927091766148806,0.004927091766148806,Step-4,72
89.51592254638672,4.927091766148806,0.004927091766148806,Step-4,73
90.76592254638672,4.927091766148806,0.004927091766148806,Step-4,74
92.01592254638672,4.970645997673273,0.004970645997673273,Step-4,75
93.26592254638672,4.970645997673273,0.004970645997673273,Step-4,76
94.51592254638672,5.251771304756403,0.005251771304756403,Step-4,77
95.76592254638672,5.287847016006708,0.005287847016006708,Step-4,78
97.01592254638672,5.287847016006708,0.005287847016006708,Step-4,79
98.26592254638672,5.348839331418276,0.005348839331418276,Step-4,80
