step,frame,step_time,total_time,pitd_max,num_values
Step-1,0,0.0,0.0,0.0,27820
Step-1,1,1.0,1.0,0.0,27820
Step-2,0,0.0,1.0,0.0,27820
Step-2,1,1.0,2.0,0.0,27820
Step-3,0,0.0,2.0,0.0,27820
Step-3,1,0.0010000000474974513,2.0010000000474975,0.0,27820
Step-3,2,0.0012499999720603228,2.0012499999720603,0.0,27820
Step-3,3,0.001500000013038516,2.0015000000130385,0.0,27820
Step-3,4,0.0020000000949949026,2.002000000094995,0.0,27820
Step-3,5,0.002749999985098839,2.002749999985099,0.0,27820
Step-3,6,0.003874999936670065,2.00387499993667,0.0,27820
Step-3,7,0.006124999839812517,2.0061249998398125,0.0,27820
Step-3,8,0.009499999694526196,2.009499999694526,0.0,27820
Step-3,9,0.016249999403953552,2.0162499994039536,0.0,27820
Step-3,10,0.029750000685453415,2.0297500006854534,0.0,27820
Step-3,11,0.05674999952316284,2.056749999523163,0.0,27820
Step-3,12,0.1107499971985817,2.1107499971985817,0.0,27820
Step-3,13,0.21875,2.21875,0.0,27820
Step-3,14,0.4347499907016754,2.4347499907016754,0.0,27820
Step-3,15,0.8667500019073486,2.8667500019073486,0.0,27820
Step-3,16,1.0,3.0,0.0,27820
Step-4,0,0.0,3.0,0.0,27820
Step-4,1,0.006750000175088644,3.0067500001750886,0.0,27820
Step-4,2,0.027281250804662704,3.0272812508046627,0.0,27820
Step-4,3,0.17749512195587158,3.1774951219558716,0.00021054598619230092,27820
Step-4,4,0.5523178577423096,3.5523178577423096,0.00021054598619230092,27820
Step-4,5,1.5159227848052979,4.515922784805298,0.00021054598619230092,27820
Step-4,6,2.765922784805298,5.765922784805298,0.0007980921072885394,27820
Step-4,7,4.015922546386719,7.015922546386719,0.0007980921072885394,27820
Step-4,8,5.265922546386719,8.265922546386719,0.0007980921072885394,27820
Step-4,9,6.515922546386719,9.515922546386719,0.001209302106872201,27820
Step-4,10,7.765922546386719,10.765922546386719,0.0012323425617069006,27820
Step-4,11,9.015922546386719,12.015922546386719,0.0012553572887554765,27820
Step-4,12,10.265922546386719,13.265922546386719,0.0012553572887554765,27820
Step-4,13,11.515922546386719,14.515922546386719,0.0012553572887554765,27820
Step-4,14,12.765922546386719,15.765922546386719,0.001381883048452437,27820
